data;
set S := 1	2	3	4	5	6	7	8	9	10	11	12	13	14;

param cost: 1	2	3	4	5	6	7	8	9	10	11	12	13	14 :=
1	1	153	510	706	966	581	455	70	160	372	157	567	342	398
2	0	1	422	664	997	598	507	197	311	479	310	581	417	376
3	0	0	1	289	744	390	437	491	645	880	618	374	455	211
4	0	0	0	1	491	265	410	664	804	1070	768	259	499	310
5	0	0	0	0	1	400	514	902	990	1261	947	418	635	636
6	0	0	0	0	0	1	168	522	634	910	593	19	284	239
7	0	0	0	0	0	0	1	389	482	757	439	163	124	232
8	0	0	0	0	0	0	0	1	154	406	133	508	273	355
9	0	0	0	0	0	0	0	0	1	276	43	623	358	498
10	0	0	0	0	0	0	0	0	0	1	318	898	633	761
11	0	0	0	0	0	0	0	0	0	0	1	582	315	464
12	0	0	0	0	0	0	0	0	0	0	0	1	275	221
13	0	0	0	0	0	0	0	0	0	0	0	0	1	247
14	0	0	0	0	0	0	0	0	0	0	0	0	0	1;
