14
9999	168	561	776	869	639	409	63	144	334	141	623	307	437
137	9999	464	730	897	538	456	177	279	431	279	522	375	338
459	379	9999	260	669	351	393	441	580	792	556	336	409	189
635	597	317	9999	441	238	369	597	723	963	691	233	449	279
1062	1096	818	540	9999	440	565	992	891	1134	852	459	698	699
522	657	429	291	360	9999	151	469	570	819	533	20	255	262
500	557	480	451	462	184	9999	427	433	681	395	179	111	255
77	216	540	730	811	574	350	9999	138	365	119	558	245	390
176	342	709	884	1089	697	530	169	9999	248	43	685	393	547
409	526	968	1177	1387	1001	832	446	303	9999	349	987	696	837
172	341	679	844	1041	652	482	146	43	286	9999	640	346	510
510	639	411	284	376	17	146	457	560	808	523	9999	247	243
376	458	500	548	571	312	136	300	322	569	283	302	9999	271
358	413	232	341	572	215	208	319	448	684	417	198	222	9999
